month,p,f
Sep-16,105.46,P
Aug-16,104.99,P
Jul-16,105.02,P
Jun-16,104.78,R
May-16,104.41,R
Apr-16,104.81,R
Mar-16,104.47,R
Feb-16,105.12,R
Jan-16,103.12,R
Dec-15,103.7,P
Nov-15,104.47,P
Oct-15,105.2,R
Sep-15,105.11,R
Aug-15,104.39,R
Jul-15,103.74,R
Jun-15,103.84,P
May-15,103.13,R
Apr-15,102.89,R
Mar-15,102.41,R
Feb-15,102.65,R
Jan-15,102.29,R
Dec-14,103.56,R
Nov-14,103.92,R
Oct-14,104.87,R
Sep-14,104.8,R
Aug-14,104.85,R
Jul-14,104.4,R
Jun-14,104.43,R
May-14,103.9,R
Apr-14,103.74,R
Mar-14,103.05,P
Feb-14,102.86,R
Jan-14,103.26,R
Dec-13,102.94,R
Nov-13,103.04,R
Oct-13,103.78,P
Sep-13,104.06,R
Aug-13,102.72,R
Jul-13,102.59,R
Jun-13,102.75,P
May-13,102.24,P
Apr-13,102.05,R
Mar-13,101.42,R
Feb-13,102.9,R
Jan-13,102.41,R
Dec-12,102.59,P
Nov-12,102.34,P
Oct-12,103.12,P
Sep-12,103.19,P
Aug-12,103.53,P
Jul-12,102.53,P
Jun-12,102.14,P
May-12,101.49,P
Apr-12,100.99,P
Mar-12,100.06,P
Feb-12,99.94,P
Jan-12,101.28,P
Dec-11,100.97,P
Nov-11,100.74,P
Oct-11,100.77,P
Sep-11,100.23,P
Aug-11,100.1,P
Jul-11,100.07,P
Jun-11,100.37,P
May-11,99.75,P
Apr-11,99.56,P
Mar-11,98.82,P
Feb-11,99.69,P
Jan-11,98.95,P
Dec-10,98.96,P
Nov-10,99.71,P
Oct-10,99.52,P
Sep-10,98.87,P
Aug-10,98.77,P
Jul-10,98.76,P
Jun-10,98.45,P
May-10,98.12,P
Apr-10,98.27,P
Mar-10,97.45,P
Feb-10,98.39,P
Jan-10,97.87,P
Dec-09,97.75,P
Nov-09,98.22,P
Oct-09,98.96,P
Sep-09,98.58,P
Aug-09,99.24,P
Jul-09,97.48,P
Jun-09,97.29,P
May-09,97.38,P
Apr-09,96.97,P
Mar-09,96.24,P
Feb-09,96.13,P
Jan-09,97.62,P
Dec-08,97.99,P
Nov-08,99.83,P
Oct-08,100.87,P
Sep-08,99.46,P
Aug-08,100.06,P
Jul-08,99.81,P
Jun-08,99.25,P
May-08,97.47,P
Apr-08,97.42,P
Mar-08,96.38,P
Feb-08,97.43,P
Jan-08,96.2,P
Dec-07,96.77,P
Nov-07,97.94,P
Oct-07,98.52,P
Sep-07,96.47,P
Aug-07,95.58,P
Jul-07,94.33,P
Jun-07,94.55,P
May-07,93.98,P
Apr-07,93.79,P
Mar-07,92.72,P
Feb-07,93.81,P
Jan-07,93.45,P
Dec-06,93.65,P
Nov-06,93.45,P
Oct-06,93.53,P
Sep-06,93.56,P
Aug-06,94.07,P
Jul-06,94.64,P
Jun-06,94.43,P
May-06,94,P
Apr-06,93.15,P
Mar-06,91.94,P
Feb-06,92.2,P
Jan-06,93.12,P
Dec-05,93.02,P
Nov-05,93.23,P
Oct-05,94.66,P
Sep-05,94.73,P
Aug-05,94.6,P
Jul-05,93.9,P
Jun-05,92.82,P
May-05,92.53,P
Apr-05,92.02,P
Mar-05,91.56,P
Feb-05,91.3,P
Jan-05,90.7,P
Dec-04,91.01,P
Nov-04,90.95,P
Oct-04,92.13,P
Sep-04,91.83,P
Aug-04,91.34,P
Jul-04,91.7,P
Jun-04,90.66,P
May-04,90.45,P
Apr-04,90.53,P
Mar-04,89.5,P
Feb-04,89.56,P
Jan-04,90.26,P
Dec-03,89.56,P
Nov-03,89.58,P
Oct-03,89.98,P
Sep-03,89.34,P
Aug-03,89.07,P
Jul-03,88.74,P
Jun-03,89.11,P
May-03,89.63,P
Apr-03,89.68,P
Mar-03,88.71,P
Feb-03,88.99,P
Jan-03,90.25,P
Dec-02,89.61,P
Nov-02,90,P
Oct-02,90.03,P
Sep-02,89.53,P
Aug-02,89.59,P
Jul-02,89.62,P
Jun-02,89.61,P
May-02,89.34,P
Apr-02,89.78,P
Mar-02,88.87,P
Feb-02,90.36,P
Jan-02,89.28,P
Dec-01,88.93,P
Nov-01,90.51,P
Oct-01,91.59,P
Sep-01,90.22,P
Aug-01,89.84,P
Jul-01,89.25,P
Jun-01,89.52,P
May-01,89.57,P
Apr-01,89.59,P
Mar-01,88.86,P
Feb-01,89.1,P
Jan-01,90.8,P
Dec-00,90.46,P
Nov-00,91.55,P
Oct-00,90.71,P
Sep-00,90.69,P
Aug-00,89.44,P
Jul-00,89.16,P
Jun-00,89.65,P
May-00,89.77,P
Apr-00,89.22,P
Mar-00,88.48,P
Feb-00,90.02,P
Jan-00,88.71,P
Dec-99,88.99,P
Nov-99,89.53,P
Oct-99,89.79,P
Sep-99,89.24,P
Aug-99,89.19,P
Jul-99,87.89,P
Jun-99,88.45,P
May-99,88.36,P
Apr-99,88.12,P
Mar-99,87.5,P
Feb-99,89.2,P
Jan-99,88.26,P
Dec-98,88.86,P
Nov-98,90.34,P
Oct-98,89.43,P
Sep-98,88.72,P
Aug-98,88.18,P
Jul-98,88.62,P
Jun-98,89.2,P
May-98,87.93,P
Apr-98,88.21,P
Mar-98,87.91,P
Feb-98,87.37,P
Jan-98,87.91,P
Dec-97,87.02,P
Nov-97,86.94,P
Oct-97,87.18,P
Sep-97,88.36,P
Aug-97,87.79,P
Jul-97,87.88,P
Jun-97,87.93,P
May-97,86.49,P
Apr-97,86.38,P
Mar-97,85.79,P
Feb-97,87.11,P
Jan-97,86.19,P
Dec-96,86.79,P
Nov-96,87.4,P
Oct-96,87.46,P
Sep-96,87.81,P
Aug-96,88.3,P
Jul-96,85.06,P
Jun-96,86.35,P
May-96,85.84,P
Apr-96,85.95,P
Mar-96,84.86,P
Feb-96,85.36,P
Jan-96,84.52,P
Dec-95,84.65,P
Nov-95,84.69,P
Oct-95,84.35,P
Sep-95,84.56,P
Aug-95,84.06,P
Jul-95,83.85,P
Jun-95,84.34,P
May-95,83.44,P
Apr-95,83.59,P
Mar-95,82.38,P
Feb-95,82.27,P
Jan-95,82.63,P
Dec-94,80.95,P
Nov-94,81.25,P
Oct-94,82,P
Sep-94,82.9,P
Aug-94,82.65,P
Jul-94,80.74,P
Jun-94,80.58,P
May-94,80.78,P
Apr-94,80.04,P
Mar-94,79.32,P
Feb-94,79.54,P
Jan-94,78.52,P
Dec-93,78.86,P
Nov-93,78.21,P
Oct-93,78.04,P
Sep-93,77.7,P
Aug-93,77.2,P
Jul-93,77.53,P
Jun-93,78.89,P
May-93,77.39,P
Apr-93,77.65,P
Mar-93,76.77,P
Feb-93,76.53,P
Jan-93,76.3,P
Dec-92,75.37,P
Nov-92,75.87,P
Oct-92,77.1,P
Sep-92,77.13,P
Aug-92,74.72,P
Jul-92,75.06,P
Jun-92,75.61,P
May-92,75.82,P
Apr-92,75.56,P
Mar-92,74.35,P
Feb-92,74.26,P
Jan-92,73.61,P
